#flow_id|protocol|first_seen|last_seen|duration|src_ip|src_port|dst_ip|dst_port|ndpi_proto_num|ndpi_proto|proto_by_ip|server_name_sni|c_to_s_pkts|c_to_s_bytes|c_to_s_goodput_bytes|s_to_c_pkts|s_to_c_bytes|s_to_c_goodput_bytes|data_ratio|str_data_ratio|c_to_s_goodput_ratio|s_to_c_goodput_ratio|iat_flow_min|iat_flow_avg|iat_flow_max|iat_flow_stddev|iat_c_to_s_min|iat_c_to_s_avg|iat_c_to_s_max|iat_c_to_s_stddev|iat_s_to_c_min|iat_s_to_c_avg|iat_s_to_c_max|iat_s_to_c_stddev|pktlen_c_to_s_min|pktlen_c_to_s_avg|pktlen_c_to_s_max|pktlen_c_to_s_stddev|pktlen_s_to_c_min|pktlen_s_to_c_avg|pktlen_s_to_c_max|pktlen_s_to_c_stddev|cwr|ece|urg|ack|psh|rst|syn|fin|c_to_s_cwr|c_to_s_ece|c_to_s_urg|c_to_s_ack|c_to_s_psh|c_to_s_rst|c_to_s_syn|c_to_s_fin|s_to_c_cwr|s_to_c_ece|s_to_c_urg|s_to_c_ack|s_to_c_psh|s_to_c_rst|s_to_c_syn|s_to_c_fin|c_to_s_init_win|s_to_c_init_win|server_info|tls_version|quic_version|ja3s|advertised_alpns|negotiated_alpn|tls_supported_versions|ssh_client_hassh|ssh_server_hassh|flow_info|plen_bins|http_user_agent
55|17|1756803417.192|1756803437.134|19.942|10.131.200.96|61901|194.116.104.8|443|188.126|QUIC.Google|Unknown|rr1---sn-uv2pm-ugol.offline-maps.gvt1.com|875|70933|34183|6996|9024819|8730987|-0.984|Download|48.2|96.7|1|8.8|4495|104.2|0|19.8|4495|225.0|0|2.2|4650|59.3|71|81.1|1292|75.9|68|1290.0|1292|47.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||TLSv1.3|V-1||h3||TLSv1.3||||9;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;0;0;0;0;0;0;0;0|
59|17|1756803428.923|1756803429.333|0.410|10.131.200.96|61902|194.116.104.9|443|188.126|QUIC.Google|Unknown|rr2---sn-uv2pm-ugol.offline-maps.gvt1.com|12|4074|3570|12|8138|7634|-0.333|Download|87.6|93.8|1|35.8|128|39.1|0|44.3|162|56.7|0|1.4|7|2.5|74|339.5|1292|458.8|63|678.2|1292|540.7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||TLSv1.3|V-1||h3||TLSv1.3||||12;33;8;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;25;0;0;0;0;0;0;0;0|
2|17|1756803392.586|1756803414.738|22.152|10.131.200.96|61781|216.239.38.135|443|188|QUIC|Google||2327|2535737|2438003|1746|1640086|1566754|0.214|Upload|96.1|95.5|1|15.3|2924|109.9|0|8.0|3010|90.4|0|3.9|297|14.4|71|1089.7|1292|424.3|64|939.3|1292|532.2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0||||||||28;19;2;2;0;0;2;0;0;0;0;0;1;5;1;0;0;3;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;5;13;0;0;0;0;0;0;0;0|
50|6|1756803411.019|1756803411.020|0.001|216.58.205.42|443|10.131.200.96|51923|91|TLS|Google||1|54|0|1|54|0|0.000|Mixed|0.0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|0|0.0|54|54.0|54|0.0|54|54.0|54|0.0|0|0|0|2|0|0|0|1|0|0|0|1|0|0|0|1|0|0|0|1|0|0|0|0|0|0||0|0||||||||0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
23|17|1756803399.812|1756803454.573|54.761|10.131.200.96|55099|10.131.200.79|53|5|DNS|Unknown|t0.gstatic.com|6|546|294|6|1010|758|-0.298|Download|53.7|75.0|87|3886.3|14071|5265.7|3360|9660.2|14180|3977.5|3395|9663.8|14164|3954.6|74|91.0|101|9.1|90|168.3|219|44.1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|||||||216.58.204.228|0;58;0;16;8;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
0|6|1756803390.770|1756803391.399|0.629|10.131.200.96|52029|216.239.38.223|443|91.228|TLS.PlayStore|Google|play.googleapis.com|8|5197|4753|10|2339|1787|0.379|Upload|91.4|76.4|1|56.6|368|108.6|0|87.3|368|133.6|0|23.4|131|41.3|54|649.6|1454|602.4|54|233.9|1454|412.9|0|0|0|17|6|0|2|0|0|0|0|7|3|0|1|0|0|0|0|10|3|0|1|0|66|66||TLSv1.3|0|f590053ff246338aff7c203dbe7164d6|||TLSv1.3;TLSv1.2;TLSv1.1;TLSv1||||11;0;11;0;11;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;33;0;0;0;0|
1|6|1756803392.485|1756803392.588|0.103|10.131.200.96|61695|216.58.205.42|443|91|TLS|Google||2|132|0|1|66|0|0.333|Upload|0.0|0.0|35|51.0|67|16.0|102|102.0|102|0.0|0|0.0|0|0.0|66|66.0|66|0.0|66|66.0|66|0.0|0|0|0|3|0|0|0|2|0|0|0|2|0|0|0|1|0|0|0|1|0|0|0|1|0|0||0|0||||||||0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
17|6|1756803398.599|1756803398.729|0.130|10.131.200.96|61710|157.240.203.33|443|91|TLS|Facebook||2|169|37|2|173|41|-0.012|Mixed|21.8|23.6|3|43.0|83|32.7|130|130.0|130|0.0|83|83.0|83|0.0|66|84.5|103|18.5|66|86.5|107|20.5|0|0|0|4|2|0|0|0|0|0|0|2|1|0|0|0|0|0|0|2|1|0|0|0|0|0||0|0||||||||0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0|
15|6|1756803394.656|1756803395.691|1.035|10.131.200.96|61875|216.58.204.138|443|91.239|TLS.GoogleServices|Google|notifications-pa.googleapis.com|29|27887|25965|24|8016|6424|0.553|Upload|93.1|80.1|1|48.7|511|108.2|0|17.3|141|36.8|0|40.8|511|116.8|66|961.6|1454|639.2|66|334.0|1454|514.6|0|0|0|52|15|0|2|0|0|0|0|28|11|0|1|0|0|0|0|24|4|0|1|0|74|74||TLSv1.3|0|eb1d94daa7e0344597e756a1fb6e7054|http/1.1||TLSv1.3;TLSv1.2||||3;0;3;0;0;0;0;0;0;0;3;0;3;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78;0;0;0;0|
28|6|1756803399.903|1756803400.321|0.418|10.131.200.96|61883|216.239.38.135|443|91.126|TLS.Google|Google|gz0.googleusercontent.com|14|2773|1841|12|12271|11471|-0.631|Download|66.4|93.5|5|51.8|103|35.5|0|24.1|150|50.3|0|13.6|85|27.8|66|198.1|1454|361.7|66|1022.6|1454|582.1|0|0|0|25|7|0|2|0|0|0|0|13|2|0|1|0|0|0|0|12|5|0|1|0|74|74||TLSv1.3|0|eb1d94daa7e0344597e756a1fb6e7054|h2;http/1.1||GREASE;TLSv1.3;TLSv1.2||||0;0;8;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0|
29|6|1756803399.903|1756803400.322|0.419|10.131.200.96|61884|216.239.38.135|443|91.126|TLS.Google|Google|gz0.googleusercontent.com|14|2773|1841|11|12206|11472|-0.630|Download|66.4|94.0|2|50.9|104|37.0|0|22.8|152|49.0|0|15.1|93|30.8|66|198.1|1454|361.7|66|1109.6|1454|528.1|0|0|0|24|7|0|2|0|0|0|0|13|2|0|1|0|0|0|0|11|5|0|1|0|74|74||TLSv1.3|0|eb1d94daa7e0344597e756a1fb6e7054|h2;http/1.1||GREASE;TLSv1.3;TLSv1.2||||0;0;8;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0|
30|6|1756803399.908|1756803400.321|0.413|10.131.200.96|61885|216.239.38.135|443|91.126|TLS.Google|Google|gz0.googleusercontent.com|14|2773|1841|11|12205|11471|-0.630|Download|66.4|94.0|2|51.0|108|36.5|0|23.1|156|49.4|0|15.0|93|30.8|66|198.1|1454|361.7|66|1109.5|1454|528.1|0|0|0|24|7|0|2|0|0|0|0|13|2|0|1|0|0|0|0|11|5|0|1|0|74|74||TLSv1.3|0|eb1d94daa7e0344597e756a1fb6e7054|h2;http/1.1||GREASE;TLSv1.3;TLSv1.2||||0;0;8;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0|
31|6|1756803399.910|1756803400.322|0.412|10.131.200.96|61886|216.239.38.135|443|91.126|TLS.Google|Google|gz0.googleusercontent.com|14|2741|1809|12|12271|11471|-0.635|Download|66.0|93.5|2|50.8|103|35.6|0|22.2|151|48.0|0|14.0|92|29.5|66|195.8|1454|360.2|66|1022.6|1454|582.1|0|0|0|25|7|0|2|0|0|0|0|13|2|0|1|0|0|0|0|12|5|0|1|0|74|74||TLSv1.3|0|eb1d94daa7e0344597e756a1fb6e7054|h2;http/1.1||GREASE;TLSv1.3;TLSv1.2||||0;0;8;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0|
18|17|1756803399.794|1756803400.359|0.565|10.131.200.96|61877|216.239.38.135|443|188.126|QUIC.Google|Google|gz0.googleusercontent.com|71|10368|7386|159|198242|191564|-0.901|Download|71.2|96.6|1|7.2|53|9.0|0|6.5|60|13.6|0|1.7|43|4.9|73|146.0|1292|255.2|65|1246.8|1292|213.6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||TLSv1.3|V-1||h3||TLSv1.3||||5;23;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;65;0;0;0;0;0;0;0;0|
26|17|1756803399.872|1756803400.275|0.403|10.131.200.96|61881|142.250.180.131|443|188.126|QUIC.Google|Google|fonts.gstatic.com|14|5121|4533|15|10866|10236|-0.359|Download|88.5|94.2|1|20.6|82|23.3|0|30.7|110|38.1|0|18.3|128|36.0|73|365.8|1292|487.4|66|724.4|1292|571.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||TLSv1.3|V-1||h3||TLSv1.3||||13;24;6;6;6;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;6;27;0;0;0;0;0;0;0;0|
